pilots,Airports and Aircraft 
toddler,Private Citizens and Property
trader,Private Citizens and Property
traders,Private Citizens and Property
tribal,Private Citizens and Property
tribal chief,Private Citizens and Property
tribal elder,Private Citizens and Property
tribal youth,Private Citizens and Property
tribals,Private Citizens and Property
tribesman,Private Citizens and Property
truck driver,Private Citizens and Property
unarmed civilians,Private Citizens and Property
village headman,Private Citizens and Property
villager,Private Citizens and Property
villagers,Private Citizens and Property
villages,Private Citizens and Property
wife,Private Citizens and Property
woman,Private Citizens and Property
woman councilor,Private Citizens and Property
women,Private Citizens and Property
worker,Private Citizens and Property
workers,Private Citizens and Property
youth,Private Citizens and Property
youth leader,Private Citizens and Property
youths,Private Citizens and Property
PBCP,Purbo Banglar Communist Party (PBCP)
Purba Bangla Communist Party,Purbo Banglar Communist Party (PBCP)
Purbo Banglar Communist Party,Purbo Banglar Communist Party (PBCP)
Catholic priest,Religious Fugures/Institutions
Christian Colony of Peshawar,Religious Fugures/Institutions
Hindu priest,Religious Fugures/Institutions
imambargah shia place of worship,Religious Fugures/Institutions
Missionaries of Charity run retirement home,Religious Fugures/Institutions
mosques,Religious Fugures/Institutions
nuns,Religious Fugures/Institutions
Pir,Religious Fugures/Institutions
prayer leader,Religious Fugures/Institutions
priest,Religious Fugures/Institutions
religious scholars,Religious Fugures/Institutions
shrine of Pir Ziarat,Religious Fugures/Institutions
Spiritual Mentor,Religious Fugures/Institutions
Tablighi Jama?¢Ç«®Ç—¢at,Tablighi Jamaat (TJ)
TJ,Tablighi Jamaat (TJ)
Afghan Taliban,Taliban
mobile tower,Telecommunication
TDP,Telugu Desam Party (TDP)
Telugu Desam Party,Telugu Desam Party (TDP)
tractor,Transportation
tractors,Transportation
bus,Transportation
car,Transportation
cars,Transportation
civil station,Transportation
coal loaded train,Transportation
Danapur Durg Express train,Transportation
diesel engine,Transportation
law enforcers,Transportation
passenger bus,Transportation
passenger train,Transportation
private bus,Transportation
railway,Transportation
railway track,Transportation
Road and Buildings,Transportation
road construction site,Transportation
Sufidsang Road,Transportation
SUV,Transportation
taxis,Transportation
tipper,Transportation
tipper truck,Transportation
truck,Transportation
trucks,Transportation
vehicle,Transportation
vehicles,Transportation
Vigilance?¢Ç«®Ç—¢s drive,Transportation
TPC,Tritiya Prastuti Committee (TPC)
Tritiya Prastuti Committee,Tritiya Prastuti Committee (TPC)
cadre,Violent Political Parties
cadres,Violent Political Parties
local women pressure group,Violent Political Parties
local women?¢Ç«®Ç—¢s pressure group,Violent Political Parties
